代码	名称			板块	上市日		一手资金	一手中签率	发行价	超购倍数	募资总额	暗盘涨幅	首日涨幅	开盘	最高	最低	收盘
06890	康利国际		主板	2018/11/19	2600		60.07%		1.020	23.00		1.51		-0.98%		4.90%		1.040	1.080	0.970	1.070
01835	瑞威资管		主板	2018/11/13	2800		100.00%		5.000	5.59		1.9			2.00%		4.20%		5.200	5.500	5.030	5.210
02258	华滋国际海洋	主板	2018/11/19	3120		100.00%		1.220	1.67		2.5			4.92%		9.02%		1.500	1.500	1.230	1.330
03616	恒达集团		主板	2018/11/12	2800		100.00%		1.240	1.86		3.6			-10.48%		-8.87%		0.990	1.140	0.910	1.130
01755	新城悦			主板	2018/11/06	3900		100.00%		2.900	0.36		5.8			2.41%		3.79%		3.060	3.100	2.900	3.010
08259	HON CORP		创业	2018/11/07	2400		40.01%		0.500	22.53		0.6			32.00%		40.00%		0.680	0.900	0.680	0.700
01712	龙资源			主板	2018/11/05	2030		100.00%		2.030	1.58		1.01		8.37%		3.95%		2.150	2.210	2.050	2.110
01801	信达生物-B		主板	2018/10/31	7000		100.00%		13.980	1.11		32			0.86%		18.60%		14.300	16.960	14.000	16.580
01034	富汇建筑		主板	2018/10/30	2720		26.00%		0.320	12.40		1.28		1.56%		43.75%		0.350	0.500	0.350	0.460
08611	MINDTELL TECH	创业	2018/10/22	4400		14.51%		0.620	8.15		0.7			40.32%		16.13%		0.960	0.960	0.710	0.720
01825	美臻集团		主板	2018/10/19	4400		30.00%		0.400	18.43		0.91		0.00%		-3.75%		0.415	0.490	0.375	0.385
08516	广骏集团		创业	2018/10/15	2750		22.50%		0.400	14.00		0.48		32.50%		87.50%		0.500	0.760	0.470	0.750
01653	MOS HOUSE		主板	2018/10/19	5000		13.00%		0.190	16.61		0.95		65.79%		84.21%		0.300	0.360	0.255	0.350
01741	成志控股		主板	2018/10/16	2700		40.00%		0.625	5.00		1.25		-0.80%		0.80%		0.610	0.700	0.560	0.630
08603	亮晴控股		创业	2018/10/15	4400		20.01%		0.280	13.39		0.56		37.50%		46.43%		0.390	0.510	0.390	0.410
01894	恒益控股		主板	2018/10/12	4500		25.02%		0.850	12.48		1.6			-15.29%		3.53%		0.750	0.900	0.750	0.880
08042	高奥士国际		创业	2018/10/12	4000		60.00%		0.300	16.23		0.6			-27.33%		-28.33%		0.207	0.230	0.204	0.215
03990	美的置业		主板	2018/10/11	4300		100.00%		17.000	0.25		30			-2.35%		-6.59%		16.600	16.600	15.720	15.880
06111	大发地产		主板	2018/10/11	4980		100.00%		4.200	0.32		7.4			-0.71%		0.00%		4.200	4.260	4.200	4.200
08613	东方支付		创业	2018/10/16	3000		20.00%		0.220	21.67		0.5			38.64%		10.00%		0.330	0.370	0.230	0.242
01772	赣锋锂业		主板	2018/10/11	5300		100.00%		16.500	0.58		33			-2.67%		-28.73%		15.300	15.300	11.060	11.760
01939	东京中央拍卖	主板	2018/10/11	3420		30.02%		1.500	6.69		1.44		0.00%		4.00%		1.500	1.700	1.490	1.560
01809	浦林成山		主板	2018/10/09	3750		100.00%		5.890	0.32		7.95		0.00%		-25.64%		5.800	5.800	4.080	4.380
01781	新昌创展		主板	2018/10/04	2400		25.00%		1.100	10.25		1.4			7.00%		15.45%		1.200	1.360	0.980	1.270
01540	澳狮环球		主板	2018/10/08	3300		25.00%		1.000	10.60		1.05		-2.00%		-16.00%		0.970	1.050	0.840	0.840
08017	捷利交易宝		创业	2018/09/28	3200		30.01%		0.640	25.86		0.8			3.12%		-27.34%		0.520	0.560	0.460	0.465
01787	山东黄金		主板	2018/09/28	4595		100.00%		14.700	0.12		48			0.41%		0.00%		14.700	14.720	14.680	14.700
01911	华兴资本		主板	2018/09/27	3480		100.00%		31.800	0.82		27			0.63%		-22.33%		31.800	31.800	24.150	24.700
06862	海底捞			主板	2018/09/26	17800		60.01%		17.800	5.56		75			8.20%		0.11%		18.800	19.640	17.800	17.820
01748	信源企业		主板	2018/09/26	3520		21.37%		1.500	4.76		1.5			20.00%		0.67%		1.700	1.760	1.130	1.510
01723	港亚控股		主板	2018/09/27	2600		45.05%		1.000	6.47		1			68.00%		112.00%		2.500	2.570	1.710	2.120
03690	美团点评-W		主板	2018/09/20	7200		100.00%		69.000	1.50		325			3.62%		5.29%		72.900	74.000	72.000	72.650
08619	WAC Holdings	创业	2018/09/17	2800		20.01%		0.200	13.56		0.57		67.50%		245.00%		0.355	0.850	0.335	0.690
02552	华领医药-B		主板	2018/09/14	4640		100.00%		8.280	0.50		8.67		-0.97%		-1.81%		8.280	8.310	7.860	8.280
02680	创升控股		主板	2018/09/14	3600		70.04%		1.800	99.05		1.8			-21.67%		-43.89%		1.120	1.270	0.960	0.980
01969	中国春来		主板	2018/09/13	2980		100.00%		2.080	1.88		6.24		-5.29%		-16.35%		2.050	2.050	1.670	1.740
08601	宝燵控股		创业	2018/09/13	4000		19.16%		0.400	13.10		0.8			0.00%		-7.50%		0.410	0.430	0.330	0.370
01615	奥邦建筑		主板	2018/09/10	3900		48.53%		0.670	181.49		0.9			0.00%		-5.97%		0.660	0.700	0.600	0.630
08482	万励达			创业	2018/09/05	3500		40.00%		0.275	15.15		0.7			-1.82%		-9.45%		0.270	0.305	0.227	0.249
08609	永续农业		创业	2018/09/07	5000		30.01%		0.500	22.10		0.625		-7.00%		-21.00%		0.450	0.470	0.385	0.395
08210	衍汇亚洲		创业	2018/08/27	3000		50.00%		0.255	23.96		0.55		-2.74%		0.00%		0.246	0.340	0.240	0.255
01783	金仑控股		主板	2018/08/22	5500		15.00%		0.550	723.49		1.1			-10.91%		-10.91%		0.485	0.520	0.475	0.490
01725	恒达科技		主板	2018/08/16	10000		10.00%		1.750	419.73		1.28		-10.29%		-17.14%		1.410	1.640	1.350	1.450
08475	千盛集团		创业	2018/08/13	4000		40.00%		0.720	87.03		0.72		2.78%		-29.29%		0.700	0.710	0.485	0.495
06160	百济神州-B		主板	2018/08/08	11160		100.00%		108.000	1.73		70			-2.22%		-0.93%		108.000	108.200	103.000	107.000
00788	中国铁塔		主板	2018/08/08	3160		100.00%		1.260	1.36		543			-0.79%		0.00%		1.260	1.290	1.260	1.260
01765	希望教育		主板	2018/08/03	3840		100.00%		1.920	17.37		32			-5.73%		-2.60%		1.920	1.950	1.810	1.870
01672	歌礼制药-B		主板	2018/08/01	16000		40.00%		14.000	9.13		32			1.29%		0.00%		14.800	14.900	13.660	14.000
01758	博骏教育		主板	2018/07/31	4720		80.00%		2.360	237.71		4.72		19.50%		21.61%		2.750	3.030	2.650	2.870
02048	易居中国		主板	2018/07/20	5304		100.00%		14.380	0.73		46			-3.34%		-1.39%		14.380	15.240	13.820	14.180
01739	齐屹科技		主板	2018/07/12	4500		100.00%		4.850	0.14		11.73		0.00%		-6.39%		4.850	4.900	4.510	4.540
03302	光控精技		主板	2018/07/18	2520		84.98%		1.170	4.70		2.5			5.13%		5.13%		1.310	1.310	1.160	1.230
08525	百应租赁		创业	2018/07/18	2840		100.00%		1.280	6.28		0.87		45.13%		7.81%		1.970	2.130	1.290	1.380
08540	胜利证券		创业	2018/07/16	2880		50.04%		1.250	7.47		0.6			8.00%		4.00%		1.350	1.390	1.300	1.300
08606	倢冠控股		创业	2018/07/16	3000		40.01%		0.300	10.89		0.6			60.00%		133.33%		0.480	0.720	0.480	0.700
01775	精英汇			主板	2018/07/13	4400		40.01%		1.080	288.65		1.3			23.00%		22.22%		1.320	1.450	1.270	1.320
00797	第七大道		主板	2018/07/18	4440		100.00%		1.500	0.91		9.99		2.00%		-2.00%		1.510	1.530	1.450	1.470
01576	齐鲁高速		主板	2018/07/19	3100		100.00%		2.500	0.14		12.5		1.20%		-8.00%		2.400	2.490	2.240	2.300
08512	凯富善			创业	2018/07/19	3600		80.09%		0.295	3.57		0.79		52.54%		86.44%		0.465	0.580	0.375	0.550
08547	Pacific Legend	创业	2018/07/18	4000		50.00%		0.300	3.45		0.75		100.00%		0.00%		0.630	0.640	0.250	0.300
01731	其利工业		主板	2018/07/13	5000		60.00%		0.890	4.27		2.49		2.24%		25.84%		0.910	1.130	0.860	1.120
02051	51信用卡		主板	2018/07/13	5750		100.00%		8.500	0.88		10			4.71%		7.06%		8.760	9.350	8.510	9.100
01715	米技国际		主板	2018/07/16	3600		55.01%		0.300	19.59		1.13		1.67%		5.00%		0.275	0.365	0.275	0.315
01721	FSM HOLDINGS	主板	2018/07/16	3000		25.01%		0.530	9.77		1.3			18.86%		15.09%		0.630	0.680	0.550	0.610
01760	英恒科技		主板	2018/07/12	3330		100.00%		2.900	7.65		7.25		5.51%		0.00%		3.040	3.080	2.880	2.900
01996	弘阳地产		主板	2018/07/12	3180		100.00%		2.280	0.18		18			8.33%		12.29%		2.500	2.570	2.330	2.560
01968	兴纺控股		主板	2018/07/16	5600		20.01%		1.120	14.50		1.8			53.57%		156.25%		1.850	3.050	1.850	2.870
01773	天立教育		主板	2018/07/12	2660		100.00%		2.660	9.38		13.3		13.53%		19.92%		2.960	3.280	2.740	3.190
03700	映客			主板	2018/07/12	5000		100.00%		3.850	2.67		11.64		4.16%		10.65%		4.320	5.480	4.050	4.260
08140	人和科技		创业	2018/07/12	4000		22.05%		0.300	12.60		0.6			65.00%		63.33%		0.460	0.570	0.410	0.490
08219	恒伟集团		创业	2018/07/12	2700		30.01%		0.250	14.66		0.6			32.00%		98.00%		0.330	0.570	0.280	0.495
01652	福森药业		主板	2018/07/11	3000		70.00%		2.080	3.58		4			15.87%		22.12%		2.330	2.690	2.260	2.540
01746	万顺集团		主板	2018/07/11	2400		70.00%		0.520	46.39		1.27		-1.92%		-30.77%		0.465	0.475	0.350	0.360
08502	远航港口		创业	2018/07/10	3360		100.00%		0.380	1.02		0.76		1.32%		9.21%		0.400	0.435	0.380	0.415
06860	指尖悦动		主板	2018/07/12	3270		100.00%		2.070	0.76		10.35		0.48%		5.31%		2.080	2.290	2.040	2.180
06190	九江银行		主板	2018/07/10	2192		100.00%		10.600	0.28		37			0.38%		0.00%		10.420	10.620	10.200	10.600
01810	小米集团-W		主板	2018/07/09	4400		100.00%		17.000	9.50		370			-5.29%		-1.18%		16.600	17.000	16.000	16.800
08223	紫元元			创业	2018/07/09	4000		30.00%		0.760	14.62		0.76		88.00%		106.58%		1.390	1.750	1.350	1.570
01763	中国同辐		主板	2018/07/06	4840		80.01%		21.600	35.24		16.09		-8.00%		-6.94%		20.000	21.200	19.480	20.100
02262	梁志天设计		主板	2018/07/05	3150		60.00%		0.880	139.39		2.1			20.45%		30.68%		1.010	1.160	0.910	1.150
01592	基石控股		主板	2018/07/04	2500		85.00%		0.400	18.46		1.2			-8.75%		-30.00%		0.350	0.360	0.280	0.280
08305	棠记控股		创业	2018/07/04	3000		60.00%		0.300	23.72		0.6			8.33%		-18.67%		0.320	0.335	0.240	0.244
