代码	名称			板块	上市日		询价区间	一手资金	一手中签率	发行价		发行市盈率	绿鞋/公开	可比公司		超购倍数	募资总额	暗盘涨幅	首日涨幅	开盘	最高	最低	收盘	承销商
09989	海普瑞			主板	2020/07/08	18.4-20.6	10300		40.00%		18.400		20-22		37.00%		中生制药		69.00		40			0.00%		-4.02%		18.460	18.680	17.500	17.660	高盛/大摩
01971	弘阳服务		主板	2020/07/07	3.3-4.3		4300		30.00%		4.150		20-26		30.00%		建业新生活		111.00		4.15		17.59%		6.02%		4.880	4.880	4.210	4.400	农银国际
01502	金融街物业		主板	2020/07/06	7.16-7.56	7560		20.00%		7.360		17-17.6		30.00%		建业新生活		146.00		6.5			26.63%		28.53%		9.300	10.080	8.880	9.460	国泰君安
01957	MBV INTL		主板	2020/07/08	0.8-0.88	2200		65.01%		0.800		14-15.6		-			尚晋国际		23.50		1.25		-42.50%		-56.88%		0.435	0.500	0.335	0.345	南华金融
06078	海吉亚医疗		主板	2020/06/29	17-18.5		3700		8.70%		18.500		54-59		30.00%		华润医疗		608.00		22.2		27.03%		40.54%		22.800	27.700	22.650	26.000	大摩/海通国际
09997	康基医疗		主板	2020/06/29	12.36-13.88	6940		9.00%		13.880		68-77		30.00%		威高股份		989.00		31.2		87.68%		98.85%		25.900	27.800	25.650	27.600	高盛/中信证券/美银
01650	HYGIEIA GROUP	主板	2020/07/03	0.25-0.3	2400		20.00%		0.250		35-42		-			高升集团		19.00		1.25		2.00%		-46.40%		0.250	0.260	0.130	0.134	富强金融
09958	力天影业		主板	2020/06/22	2.56-3.84	3840		20.00%		2.560		9-13.7		-			阿里影业		11.56		1.92		0.00%		-37.89%		2.400	2.520	1.590	1.590	方正证券
09618	京东-SW			主板	2020/06/18	236			11800		10.00%		226.000		56			125.00%		阿里巴巴		178.00		300			5.93%		3.54%		239.000	239.000	228.600	234.000	美银/UBS/中信证券
09999	网易-S			主板	2020/06/11	126			12600		8.00%		123.000		18.75		124.00%		腾讯控股		360.00		216			5.61%		5.69%		133.000	135.200	130.000	130.000	中金/瑞信/摩根大通
01645	海纳智能		主板	2020/06/03	1.08-1.5	6000		8.00%		1.380		17-24		30.00%		荣丰集团		168.00		1.5			-18.12%		-13.04%		1.210	1.380	1.200	1.200	建泉融资
09923	移卡			主板	2020/06/01	12.64-16.64	6656		10.00%		16.640		57-75		-			汇付天下		641.00		16.42		-9.74%		6.13%		14.960	18.800	14.920	17.660	中信里昂
02381	蚬壳电业		主板	2020/06/02	0.25		2500		33.14%		0.250		11			-			全达电器		37.30		1.25		-20.40%		-43.60%		0.198	0.200	0.130	0.141	红日资本
09939	开拓药业-B		主板	2020/05/22	17.8-20.15	10070		10.00%		20.150		-			30.00%		康方生物-B		551.00		18.5		5.71%		6.70%		20.150	22.950	20.100	21.500	华泰国际
09983	建业新生活		主板	2020/05/15	5.6-7.2		7200		25.00%		6.850		26-33		30.00%		保利物业		142.00		19			20.88%		22.19%		8.420	8.660	7.880	8.370	法巴
09996	沛嘉医疗-B		主板	2020/05/15	15.36		15360		8.50%		15.360		-			30.00%		康方生物-B		1184.00		23.4		64.71%		67.97%		26.800	27.150	25.550	25.800	大摩/华泰国际
08496	新加坡美食		创业板	2020/05/18	0.9-1.1		2750		12.28%		0.900		27-33		-			太兴集团		16.40		0.49		83.33%		128.89%		1.500	2.350	1.450	2.060	英高
01936	RITAMIX			主板	2020/05/13	1-1.2		2400		30.01%		1.000		20-24		-			欣融国际		5.33		1.25		62.00%		176.00%		2.010	2.980	1.700	2.760	大有融资
01147	伊登软件		主板	2020/05/13	0.25		2500		30.00%		0.250		18			-			元力控股		115.63		1.25		-13.60%		-34.80%		0.211	0.255	0.157	0.163	信达国际
01376	RAFFLES INTER	主板	2020/05/07	0.5-0.65	5200		10.00%		0.500		21-27		-			华记环球		14.17		1.25		36.00%		26.00%		0.740	0.840	0.610	0.630	新华汇富
01953	RIMBACO			主板	2020/04/28	0.4-0.46	2300		25.00%		0.400		22-25.5		-			惠生工程		15.90		1.26		45.00%		18.75%		0.580	0.590	0.365	0.475	天泰金融
09926	康方生物-B		主板	2020/04/24	14.88-16.18	16180		12.00%		16.180		-			30.00%		诺诚健华-B		639.20		25.7		47.10%		50.19%		23.500	25.500	23.350	24.300	大摩/摩根大通
08620	亚洲速运		创业板	2020/04/20	0.42-0.58	2900		10.00%		0.500		-			-			顺丰			196.21		0.6			48.00%		-36.00%		0.700	0.700	0.285	0.320	南华金融
08616	新威工程集团	创业板	2020/04/23	0.24-0.28	2800		20.00%		0.240		11.5-13.5	-			惠生工程		34.70		0.6			64.58%		112.50%		0.375	0.510	0.335	0.510	Amcap
01942	MOG HOLDINGS	主板	2020/04/15	1-1.2		2400		35.00%		1.000		12-14.4		-			恒发光学		40.04		1.25		-20.00%		-50.00%		0.810	0.830	0.495	0.500	中泰国际
03390	满贯集团		主板	2020/04/15	1.48-1.52	3040		25.08%		1.490		17.6-18.2	-			福森药业		6.79		2.85		-10.07%		-35.57%		1.280	1.330	0.960	0.960	申万宏源
06063	智中国际		主板	2020/04/15	0.25-0.29	2320		20.00%		0.250		13.8-16		-			宝发控股		14.15		1.25		108.00%		176.00%		0.500	0.750	0.495	0.690	创升
01463	C-LINK SQ		主板	2020/03/27	0.63-0.73	2920		13.01%		0.630		23.8-27.5	-			元力控股		11.15		1.26		42.86%		36.51%		1.090	1.090	0.850	0.860	中毅资本
09969	诺诚健华-B		主板	2020/03/23	8.18-8.95	8950		25.00%		8.950		-			30.00%		启明医药-B		298.75		22.37		14.19%		9.61%		9.400	10.400	9.400	9.810	大摩/高盛
00589	建中建设		主板	2020/03/18	1.35-1.65	3300		60.00%		1.650		5.4-6.6		-			澳能建设		59.04		2.57		-18.18%		14.55%		1.450	2.310	1.450	1.890	鼎珮
01472	生兴控股		主板	2020/03/17	0.5-0.63	3150		75.83%		0.500		12-15		-			光荣建筑		2.47		1.25		54.00%		148.00%		0.900	1.500	0.760	1.240	信达国际
01941	烨星集团		主板	2020/03/13	1.32-1.58	3160		3.00%		1.560		13.2-15.8	30.00%		佳兆业物业		1948.00		1.56		1.92%		10.26%		1.470	1.750	1.470	1.720	同人融资
01859	煜盛文化		主板	2020/03/13	2.25-3.37	3370		100.00%		2.260		37.5-56		187.00%		瑞诚			0.80		9			0.00%		-7.08%		2.260	2.260	1.750	2.100	海通国际/交银国际
06918	奇士达			主板	2020/03/18	1.17-1.47	2940		50.01%		1.380		16.7-21		50.00%		童园国际		20.40		1.2			-23.91%		-34.78%		1.100	1.130	0.830	0.900	民银资本
01433	常达控股		主板	2020/03/12	0.25-0.29	2900		70.01%		0.250		14.7-17		-			利华控股		74.68		1.25		-20.00%		-40.00%		0.161	0.184	0.148	0.150	千里硕
01961	九尊数字互娱	主板	2020/03/17	1.35		3600		60.00%		1.350		13.6-16.4	-			家乡互动		23.06		1.5			2.22%		3.70%		1.450	1.530	1.280	1.400	力高企业
01950	深蓝科技控股	主板	2020/03/12	0.5-0.6		2400		30.01%		0.520		14.7-17.6	-			东光化工		12.47		1.28		5.77%		-1.92%		0.500	0.580	0.475	0.510	智富
09936	稀美资源		主板	2020/03/12	2.23-2.89	7225		35.01%		2.230		7.8-10		-			赣锋锂业		15.74		1.67		-11.66%		-8.97%		2.000	2.160	1.900	2.030	信达国际
01343	伟源控股		主板	2020/03/12	0.48-0.6	3000		30.01%		0.480		10-12.8		-			华营建筑		4.79		1.27		-4.17%		64.58%		0.700	0.890	0.530	0.790	均富融资
09916	兴业物联		主板	2020/03/09	1.5-2		4000		3.00%		1.990		15.8-21		30.00%		佳兆业物业		1414.00		1.99		7.04%		2.01%		1.810	2.310	1.780	2.030	中泰国际
02263	富石金融		主板	2020/02/19	0.5-0.6		6000		20.01%		0.500		13-16		30.00%		耀才证券		130.35		1.25		16.00%		-20.00%		0.560	0.570	0.400	0.400	域高融资
09929	澳达控股		主板	2020/02/14	0.25-0.35	3500		26.12%		0.250		12.5-17.5	-			顺兴集团		5.57		1.25		30.00%		2.00%		0.330	0.345	0.255	0.255	丰盛融资
01601	中关村科技租赁	主板	2020/01/21	1.52-1.72	3440		100.00%		1.520		15-17		100.00%		富道集团		5.80		5			-1.97%		0.00%		1.450	1.540	1.380	1.520	国泰君安
